run,r/m,Tm0/K,tstart/Myr,tend/Myr,tstep/Myr,maxt /Myr,cond_i,int_time/s,dr/m,out_interval/Myr,viscosity
57,400000,1600,1,300,1.75196600710299E-05,299.997018566083,3293377,782.537076278,500,10,Dodds
58,400000,1600,1,1000,0.00017519660071,962.522043061898,329334,245.248911087,500,10,Dodds
59,400000,1600,1,1000,0.00017519660071,969.702125348808,322667,239.194532382,500,10,Bryson
60,400000,1600,1,1000,0.00017519660071,924.973907597666,3,237.847674516,500,10,Sterenborg
61,400000,1599,1,1000,0.00017519660071,962.522043061898,329310,234.442917902,500,10,Dodds
62,400000,1599,1,1000,0.00017519660071,969.692139142567,322639,244.426009907,500,10,Bryson
63,400000,1599,1,1000,1.75196600710299E-05,969.042878059995,3192431,2408.542712921,500,10,Sterenborg
64,400000,1600,1,1000,0.00017519660071,965.338153221715,227650,252.927788589001,500,10,Bryson2
65,400000,1600,1,1000,0.00017519660071,714.354831779554,370226,187.063083709,500,10,Bryson3
66,400000,1600,1,200,0.00017519660071,199.995306950786,3772,47.9682567199998,500,10,Bryson2
67,400000,1600,1,20,0.00017519660071,19.9939394660071,1026,6.15028727599929,500,10,Bryson2
68,400000,1600,1,20,0.00017519660071,19.9939394660071,822,5.98745522899844,500,10,Bryson2
69,400000,1600,1,20,0.00017519660071,19.9939394660071,822,5.68859234800038,500,10,Bryson2
70,400000,1600,0.5,20,0.00017519660071,19.9932497780315,891,6.04558955699986,500,10,Bryson2
71,400000,1600,0.5,100,0.00017519660071,99.9927479705733,3498,30.2641760119986,500,10,Bryson2
72,400000,1600,0.5,100,0.00017519660071,99.9927479705733,4491,35.5907804500021,500,10,Bryson2
73,400000,1600,0.5,100,0.00017519660071,99.9927479705733,3596,35.1018426580013,500,10,Bryson2
75,400000,1600,0.5,200,0.00017519660071,199.994617262811,nan,89.7277787349995,500,10,Dodds
74,400000,1600,0.5,1000,0.00017519660071,999.99958539447,22329,370.915616146998,500,10,Dodds
76,400000,1600,0.5,100,0.00017519660071,99.9927479705733,nan,44.8535051899999,500,10,Dodds
77,500000,1600,1.219,50,0.00017519660071,49.9918064751395,nan,47.7179365239972,500,6.34195839675292E-13,Dodds
10,500000,1600,0.8,50,0.00017519660071,49.7888238838153,32,59.8984440319982,500,6.34195839675292E-13,Dodds
9,500000,1600,0.8,50,0.00017519660071,49.7988100900558,37,63.8027619579989,500,6.34195839675292E-13,Dodds
8,500000,1600,0.8,50,0.00017519660071,49.7988100900558,37,65.129716075,500,6.34195839675292E-13,Dodds
5,500000,1600,0.8,50,0.00017519660071,49.8087962962963,54,68.8411203549986,500,6.34195839675292E-13,Dodds
6,500000,1600,0.8,50,0.00017519660071,49.8187825025368,54,60.356097083,500,6.34195839675292E-13,Dodds
5,500000,1600,0.8,50,0.00017519660071,49.8187825025368,54,60.5942834760001,500,6.34195839675292E-13,Dodds
4,500000,1600,0.8,50,0.00017519660071,49.8387549150178,54,55.9883227529999,500,6.34195839675292E-13,Dodds
3,500000,1600,0.8,50,0.00017519660071,49.8587273274987,54,49.710521058,500,6.34195839675292E-13,Dodds
2,500000,1600,0.8,50,0.00017519660071,49.8886859462202,54,48.7411771280001,500,6.34195839675292E-13,Dodds
1,500000,1600,0.8,50,0.00017519660071,49.2921415208016,48,47.3023454259999,500,6.34195839675292E-13,Dodds
12,100000,1600,0.8,200,0.000124954104122,199.90699262978,nan,131.857780842,500,6.34195839675292E-13,Dodds
13,100000,1600,0.8,200,0.000124954104122,199.916988958111,nan,136.216358838,500,6.34195839675292E-13,Dodds
14,100000,1600,0.8,200,0.000124954104122,199.946977943104,nan,135.286190705,500,6.34195839675292E-13,Dodds
15,100000,1600,0.8,200,0.000124954104122,56.0793407935245,215313808137919,36.2870515139994,500,6.34195839675292E-13,Dodds
16,100000,1600,0.8,200,0.000124954104122,56.0795157292702,215311443806342,36.5130011810006,500,6.34195839675292E-13,Dodds
17,100000,1600,0.8,200,0.000124954104122,56.0793407935244,215313808137918,36.0378078560007,500,6.34195839675292E-13,Dodds
18,100000,1600,0.8,200,0.000124954104122,56.0794157659869,215312231916868,36.2736584330005,500,6.34195839675292E-13,Dodds
19,100000,1600,0.8,200,0.000124954104122,56.0794457549719,215313177649499,35.7306228979996,500,6.34195839675292E-13,Dodds
20,100000,1600,0.8,200,0.000124954104122,199.936981614773,nan,132.233138844,500,6.34195839675292E-13,Dodds
21,100000.0,1600,0.8,200,0.00012495410412181285,90.50680052186691,203326016556358.62,65.33551452499978,500,6.341958396752917e-13,Dodds
13,100000.0,1600,0.8,200,0.00012495410412181285,87.27248849084808,204129889292387.75,58.07090696099931,500,6.341958396752917e-13,Dodds
14,100000.0,1600,0.8,200,0.00012495410412181285,81.05727135196395,205844029685391.03,52.96619367200037,500,6.341958396752917e-13,Dodds
20,100000.0,1600,0.8,200,0.00012495410412181285,78.08186422467989,206770059552875.56,52.4052479689999,500,6.341958396752917e-13,Dodds
12,100000.0,1600,0.8,200,0.00012005804375085131,62.35892152726429,496157767477949.06,41.491970032999234,500,6.341958396752917e-13,Dodds
12,100000.0,1600,0.8,200,0.00012005804375085131,195.66260907060612,nan,133.73612605000017,500,6.341958396752917e-13,Dodds
12,100000.0,1600,0.8,200,0.00012005804375085131,53.82759693827663,281324017636879.8,37.36311299299996,500,6.341958396752917e-13,Dodds
13,100000.0,1600,0.8,200,0.00012005804375085131,61.48910100028406,nan,42.12260186599997,500,6.341958396752917e-13,Dodds
