run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
34.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,25.0,29.65,1e-08,0.8,1500,500,0.075,1,
35.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30.0,29.65,1e-08,0.8,1500,500,0.075,1,
36.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,35.0,29.65,1e-08,0.8,1500,500,0.075,1,
37.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,40.0,29.65,1e-08,0.8,1500,500,0.075,1,
38.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,45.0,29.65,1e-08,0.8,1500,500,0.075,1,
