run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
1.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,26.7,1E-08,0.8,1500,500,0.075,0.0,1.0
2.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,26.7,1E-08,0.8,1500,500,0.075,1.0,1.0
3.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,29.85,1E-08,0.8,1500,500,0.075,0.0,1.0
4.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,29.85,1E-08,0.8,1500,500,0.075,1.0,1.0
5.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,33,1E-08,0.8,1500,500,0.075,0.0,1.0
6.0,500000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,33,1E-08,0.8,1500,500,0.075,1.0,1.0
7.0,400000,0.5,vary,0.3,1E+019,0.0225,5,10,30.0,33,1E-08,0.5,1500,500,0.075,1.0,1.0
