run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac
,m,,,,Pas,K^-1,K,Pas,,Wt %,,Myr,Myr,m,s,
1,500000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,26.7,1e-08,0.8,1000,500,2441922110.7016277,0
