run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
18.0,400000.0,0.5,vary,0.3,1e+19,0.01,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
19.0,400000.0,0.5,vary,0.3,1e+19,0.01625,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
20.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
21.0,400000.0,0.5,vary,0.3,1e+19,0.028750000000000005,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
22.0,400000.0,0.5,vary,0.3,1e+19,0.035,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
