run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
29.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,0.0,0.8,1500,500,0.075,1,
30.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,1e-09,0.8,1500,500,0.075,1,
31.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,1e-08,0.8,1500,500,0.075,1,
32.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,1e-07,0.8,1500,500,0.075,1,
33.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.65,6e-07,0.8,1500,500,0.075,1,
