run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
39.0,100000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.85,1e-08,0.8,1500,500,0.075,1,
40.0,200000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.85,1e-08,0.8,1500,500,0.075,1,
41.0,300000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.85,1e-08,0.8,1500,500,0.075,1,
42.0,400000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.85,1e-08,0.8,1500,500,0.075,1,
43.0,500000.0,0.5,vary,0.3,1e+19,0.0225,5,10,30,29.85,1e-08,0.8,1500,500,0.075,1,
