run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_start_m,t_end_m,dr,dt,icfrac,xwater,accrete,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,wt %,,
36,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.0,False,
37,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.02,False,
38,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.03,False,
39,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.04,False,
40,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.05,False,
41,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.06,False,
42,100000.0,0.6,vary,0.5,1e+19,0.0225,5,10,30,23,1e-08,2,1500,500,0.075,1,0.07,False,
