run,r,rcr,default,rcmf,eta0,beta,w,etal,alpha_n,Xs_0,Fe0,t_acc_m,t_end_m,dr,dt,icfrac,status
,m,,,,Pas,K^-1,K,Pas,,wt %,60Fe/56Fe,Myr,Myr,m,t_cond_core,,
1.0,200000.0,0.5,vary,0.2,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
2.0,200000.0,0.5,vary,0.26,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
3.0,200000.0,0.5,vary,0.32,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
4.0,200000.0,0.5,vary,0.38,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
5.0,200000.0,0.5,vary,0.44,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
6.0,200000.0,0.5,vary,0.5,1e+19,0.0225,5,10,30,30.05,1e-08,0.8,1500,500,0.075,1,
